From;To;Direction;Label;Type;Tags;Description;Experiment ID;Base Model;Model Configuration;Link;Analysis prompt;Text;Temperature;[Engineer];Timestamp
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
DNA polymerase;new DNA strands;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
DNA polymerase;replication;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
new DNA strands;DNA polymerase;neutral;;;;;18;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
new DNA strands;replication;neutral;;;;;18;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
replication;new DNA strands;neutral;;;;;18;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;19;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;19;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;19;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;20;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;20;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;20;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;ATP;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
Mitochondria;cellular respiration processes;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;Mitochondria;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
ATP;cellular respiration processes;neutral;;;;;21;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;Mitochondria;neutral;;;;;21;BERT;None;produce;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
cellular respiration processes;ATP;neutral;;;;;21;BERT;None;through;;Mitochondria produce ATP through cellular respiration processes.;1.0;;2025-06-25 03:24:34
The enzyme catalase;water;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;13;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;13;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;13;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;13;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;13;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;14;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;14;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;14;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;14;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;14;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;14;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;14;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;14;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;14;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;15;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;hydrogen peroxide;neutral;;;;;15;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;water;neutral;;;;;15;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
The enzyme catalase;oxygen;neutral;;;;;15;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;The enzyme catalase;neutral;;;;;15;BERT;None;break;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;water;neutral;;;;;15;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
hydrogen peroxide;oxygen;neutral;;;;;15;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
water;hydrogen peroxide;neutral;;;;;15;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
oxygen;hydrogen peroxide;neutral;;;;;15;BERT;None;into;;The enzyme catalase breaks down hydrogen peroxide into water and oxygen.;1.0;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;16;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;16;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;replication;neutral;;;;;16;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;DNA polymerase;neutral;;;;;16;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;replication;neutral;;;;;16;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
replication;new DNA strands;neutral;;;;;16;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;17;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;new DNA strands;neutral;;;;;17;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
DNA polymerase;replication;neutral;;;;;17;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;DNA polymerase;neutral;;;;;17;BERT;None;synthesize;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
new DNA strands;replication;neutral;;;;;17;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
replication;new DNA strands;neutral;;;;;17;BERT;None;during;;DNA polymerase synthesizes new DNA strands during replication.;1.0;;2025-06-25 03:24:33
Attention weights;semantic significance;positive;;;;;12;BERT;None;reveal;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
Dynamic focusing;context variations;positive;;;;;12;BERT;None;adapts to;;Attention weights reveal semantic significance. Dynamic focusing adapts to context variations.;1.0;;2025-06-10T21:20:25.308619
Graph attention networks;relationship importance;positive;;;;;11;BERT;None;learn;;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Multi-head mechanisms;diverse patterns;positive;;;;;11;BERT;None;capture;;Graph attention networks learn relationship importance. Multi-head mechanisms capture diverse patterns.;1.0;;2025-06-10T21:20:25.308612
Attention mechanisms;relevant connections;positive;;;;;10;BERT;None;prioritize;;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;1.0;;2025-06-10T21:20:25.308605
Weighted aggregation;important relationships;positive;;;;;10;BERT;None;emphasizes;;Attention mechanisms prioritize relevant connections. Weighted aggregation emphasizes important relationships.;1.0;;2025-06-10T21:20:25.308605
Compositional operators;semantic spaces;positive;;;;;9;BERT;None;transform;;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;1.0;;2025-06-10T21:20:25.308597
Mathematical functions;relational patterns;positive;;;;;9;BERT;None;encode;;Compositional operators transform semantic spaces. Mathematical functions encode relational patterns.;1.0;;2025-06-10T21:20:25.308597
Entity-relation interactions;compositional structures;positive;;;;;8;BERT;None;form;;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Unified embedding spaces;dependencies;positive;;;;;8;BERT;None;capture;;Entity-relation interactions form compositional structures. Unified embedding spaces capture dependencies.;1.0;;2025-06-10T21:20:25.308589
Composition functions;entity and relation embeddings;positive;;;;;7;BERT;None;merge;;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;1.0;;2025-06-10T21:20:25.308578
Joint representations;unified processing;positive;;;;;7;BERT;None;enable;;Composition functions merge entity and relation embeddings. Joint representations enable unified processing.;1.0;;2025-06-10T21:20:25.308578
Knowledge graphs;structured reasoning;positive;;;;;6;BERT;None;enable;;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;1.0;;2025-06-10T21:20:25.308562
Relation-specific parameters;semantic nuances;positive;;;;;6;BERT;None;capture;;Knowledge graphs enable structured reasoning. Relation-specific parameters capture semantic nuances.;1.0;;2025-06-10T21:20:25.308562
Relational convolutions;semantic understanding;positive;;;;;5;BERT;None;enhance;;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Multi-relational graphs;specialized architectures;positive;;;;;5;BERT;None;benefit from;;Relational convolutions enhance semantic understanding. Multi-relational graphs benefit from specialized architectures.;1.0;;2025-06-10T21:20:25.308297
Graph neural networks;relational data structures;positive;;;;;4;BERT;None;process;;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;1.0;;2025-06-10T21:20:25.308291
RGCN models;heterogeneous relationship types;positive;;;;;4;BERT;None;handle;;Graph neural networks process relational data structures. RGCN models handle heterogeneous relationship types effectively.;1.0;;2025-06-10T21:20:25.308291
Academic studies;artificial intelligence applications;positive;;;;;3;BERT;None;explored;;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;1.0;;2025-06-10T21:20:25.308283
Neural systems;complex behavioral patterns;positive;;;;;3;BERT;None;exhibited;;Academic studies explored artificial intelligence applications. Neural systems exhibited complex behavioral patterns.;1.0;;2025-06-10T21:20:25.308283
Researchers;computational methods;positive;;;;;2;BERT;None;analyzed;;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Deep learning algorithms;consistent results;positive;;;;;2;BERT;None;showed;;Researchers analyzed computational methods for data processing. Deep learning algorithms showed consistent results.;1.0;;2025-06-10T21:20:25.308271
Scientists;rigorous experiments;positive;;;;;1;BERT;None;conducted;;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;1.0;;2025-06-10T21:20:25.308186
Machine learning models;exceptional performance;positive;;;;;1;BERT;None;demonstrated;;Scientists conducted rigorous experiments on neural network architectures. Machine learning models demonstrated exceptional performance.;1.0;;2025-06-10T21:20:25.308186
